,Embedded Dimension,IsoMap,MDS,UMAP,PCA,t-SNE
0,5,0.961858533085552,0.965733458727621,0.966557606790658,0.960428142554878,0.960216315085511
1,10,0.961846191116317,0.957759263505101,0.968638449970312,0.958775788514002,0.946732694732653
2,15,0.961549543563964,0.947518370009289,0.968235041584232,0.956232215636076,0.954007731144051
3,20,0.959501618310134,0.937115732715115,0.968107276259547,0.954115269320646,0.954176939414271
4,25,0.957686481383343,0.929613970573786,0.967717139298246,0.951717339884039,0.955349355035233
5,30,0.955093416318316,0.920321605547249,0.968125465713809,0.949817121144344,0.955337592137213
6,35,0.951064540453745,0.912287429157624,0.967861222041137,0.948096971999296,0.953293827725964
7,40,0.945942281775516,0.905143135653064,0.967766553118307,0.946152627530085,0.951569291842812
8,45,0.939263272873927,0.895148792358348,0.968045477119227,0.944443696463965,0.950090133891729
9,50,0.929983995028107,0.888710765268896,0.967846099120324,0.942540475094039,0.947622650554454
10,55,0.920149297912224,0.885079985227354,0.968217977923808,0.940602249801705,0.945384687956451
11,60,0.909246724140217,0.876907621372949,0.968216704087182,0.938773337331022,0.942254275222054
12,65,0.895753718446021,0.871872105189171,0.968469044294318,0.935710934968811,0.939704652528589
13,70,0.883113075141319,0.866514218315989,0.968757220854579,0.933322394924611,0.937417064753344
14,75,0.869294686165137,0.859883549748274,0.968499932716867,0.930919248632736,0.93454353636761
15,80,0.854921101335544,0.856678283442568,0.968082563864515,0.928842255324452,0.93223031032947
16,85,0.839255529363288,0.847360103333187,0.968939757476639,0.926836321623841,0.928478624183765
17,90,0.823816638875196,0.843155428139977,0.968120296920528,0.924412735461964,0.926620148107999
18,95,0.811691907625533,0.83791567246005,0.968543896598168,0.921186771890449,0.922595449668364
19,100,0.798263175319154,0.832534750005466,0.968326951321724,0.919172599488938,0.920848580128887
20,105,0.785000321580664,0.829589261181412,0.968283180878124,0.91751610581831,0.917796503172142
21,110,0.771323291814144,0.820636277565966,0.967827527638356,0.913288522999412,0.915360546380606
22,115,0.759808585454363,0.815523987791878,0.968798694911104,0.910505706381455,0.913257672029954
23,120,0.748152599365141,0.81403233110981,0.96898258889852,0.909212119800827,0.909878673722706
24,125,0.737395790071629,0.810575420152774,0.968001464050526,0.906066082528838,0.9082152954062
25,130,0.726241264914917,0.805641172830024,0.96831528345004,0.904781135486638,0.905797158123522
26,135,0.718477494762599,0.802040484286533,0.968170397828378,0.901839851630844,0.901852541510961
27,140,0.709565502364171,0.794419658124975,0.968215239174016,0.898779873179144,0.899203066775881
28,145,0.701118198220215,0.795917817728353,0.96802271093836,0.895514855854276,0.897008346628698
29,150,0.695731714436544,0.790016266632557,0.967437168299444,0.894849540512292,0.893618956918883
30,155,0.68751484091417,0.785975114417347,0.967992796610195,0.892339880351315,0.89021960928345
31,160,0.684038650292648,0.784318948311945,0.968190123584399,0.889513033158465,0.888079835838735
32,165,0.679431784742212,0.780923179272473,0.968820685011347,0.885924830548996,0.884755608283335
33,170,0.674409335027459,0.778022668867693,0.968383128064406,0.882346746396767,0.883685203084531
34,175,0.670805058128953,0.772811135821976,0.968223320596844,0.879733204591607,0.881052584455919
35,180,0.666675784457073,0.769181204870794,0.968610538994349,0.877156210105402,0.877290086267987
36,185,0.665992160394689,0.768204433807686,0.968244059427321,0.87433344599579,0.873779222077938
37,190,0.663349234130413,0.766731154154036,0.968176260343687,0.871883800552435,0.870482778042882
38,195,0.660270458772789,0.760782670973118,0.967735588229621,0.870221394986226,0.870123043914418
39,200,0.659776319572215,0.758561999355594,0.968153211084532,0.865471927629933,0.865934100071482
40,205,0.658549614697348,0.754768423813878,0.968220037818536,0.864644789956456,0.865838739534831
41,210,0.660617874966775,0.750247200607364,0.968062881528807,0.861261679092835,0.862444516176775
42,215,0.663316110810385,0.7508355582477,0.968217330787722,0.860979029812132,0.856915692680694
43,220,0.661106684547873,0.746474805243487,0.968513680594949,0.856048954706686,0.858733993120364
44,225,0.659908623647783,0.743991913408939,0.967817229313954,0.852569456223004,0.853536107539386
45,230,0.659756777937656,0.740699258226045,0.968030243390947,0.851512674830549,0.84965040014209
46,235,0.659459037324167,0.739478027712596,0.967904848182197,0.846025377359476,0.845637501201817
47,240,0.65984852956111,0.737821053840849,0.968396835353481,0.84326560530592,0.845237127596661
48,245,0.658389913807147,0.73661783116056,0.967810700741917,0.842377616229836,0.841660922588859
49,250,0.656784155390355,0.730568975803799,0.968268406939192,0.839323519235462,0.839572284327795
50,255,0.656828242406379,0.729379724655121,0.968661409547088,0.837423927963991,0.834554321533825
51,260,0.658337447215761,0.726193702048584,0.968141695048123,0.832829837373777,0.832789363170746
52,265,0.659579643207568,0.727091567735928,0.968143755402546,0.830843090857078,0.832511939148678
53,270,0.659143471851312,0.723011997381147,0.968502964867196,0.827821471105715,0.826738849139869
54,275,0.660239334102518,0.721839887685147,0.968301241711725,0.826785550333869,0.824773567496965
55,280,0.660614420102899,0.72075315457127,0.968731200605467,0.822135353537091,0.823210364219376
56,285,0.660512015014388,0.715343884866101,0.967575985807066,0.820912002926678,0.819669892648399
57,290,0.660767899136998,0.713413872041009,0.968392898177991,0.816745409431025,0.816217496252191
58,295,0.661368935749901,0.710227304216424,0.96860244638212,0.815771430140701,0.815988945130386
59,300,0.661592566825645,0.712526084126462,0.968524613069045,0.811120399887171,0.810791573832843
60,305,0.662133166919232,0.702193226594276,0.968079308281365,0.806396737632618,0.808929339775276
61,310,0.662226408961855,0.704140629655089,0.96830845754916,0.804959980793656,0.799622204516328
62,315,0.662662899419457,0.706358773828014,0.968041359074523,0.802488411949695,0.802330106413985
63,320,0.662655682615836,0.703653043011199,0.968216422753646,0.798889273531033,0.799704697609367
64,325,0.662944873212385,0.698824278884907,0.968237523228521,0.795009547024979,0.795651256160451
65,330,0.662996871142447,0.700574974910778,0.968557563569874,0.794888892966399,0.793079285130848
66,335,0.663599689986208,0.696332498386461,0.968335008746366,0.791746122950697,0.791778015663545
67,340,0.663506532669198,0.695657186363731,0.967750299284322,0.78615780652784,0.78912285206613
68,345,0.663639838643045,0.696739469263717,0.96863860670552,0.785612450155817,0.782136611544934
69,350,0.66338364319608,0.690260323377091,0.96796334096393,0.779566462711174,0.779942319082296
70,355,0.663356128848962,0.687245752153803,0.96789810008475,0.778544471863521,0.777739863558745
71,360,0.663392905143244,0.690197785678741,0.968648717933927,0.774337501485589,0.774749832084861
72,365,0.663567595000633,0.687450991481513,0.968259042391804,0.771975936050022,0.771358576891302
73,370,0.664031200340906,0.682991396359178,0.968355397268114,0.77174429236915,0.768527949536259
74,375,0.664081613978485,0.685698618737775,0.968649728459164,0.764569937330609,0.766888102057549
75,380,0.663870909702222,0.678199136679479,0.968560827751416,0.762683877840945,0.763424158720942
76,385,0.664146103909879,0.682094963947519,0.968387777976595,0.758348541802352,0.757866442310708
77,390,0.664191476739317,0.680092346145853,0.967972660941768,0.759325686331937,0.757389780066952
78,395,0.664492853183677,0.673179537101643,0.968163004548549,0.753813565590722,0.754608844660637
79,400,0.664483033094898,0.675259602551793,0.96821023192185,0.747577902471731,0.749795732715401
80,405,0.664782727146993,0.671722870869487,0.968408991306671,0.748435554707518,0.748970699416799
81,410,0.664692864781447,0.668345693839733,0.968454926821199,0.742934578605608,0.745758811319928
82,415,0.665211741513549,0.67162271117785,0.967774344243539,0.741852739169995,0.73899963600546
83,420,0.665550851255226,0.668636835130205,0.968701567610837,0.735338165784903,0.740983167393662
84,425,0.6658408890361,0.668633550445439,0.96802141103492,0.7374906490374,0.733097744721779
85,430,0.665823433854958,0.666660160399002,0.968061099404976,0.732192471070197,0.730042148909582
86,435,0.66615946161902,0.669525980100757,0.968358825216114,0.729644039578705,0.729560904678995
87,440,0.666798916362272,0.667212943516157,0.96838289051685,0.724211829001224,0.72226633330395
88,445,0.666983944528397,0.664064797612205,0.968745518965441,0.721178780347189,0.718946575074634
89,450,0.66700909615297,0.665611692273059,0.968246134356176,0.717172903001655,0.719057293145428
90,455,0.667125824077435,0.661012973896468,0.968417224564773,0.714920876468485,0.713910943457675
91,460,0.667272150226922,0.657748826969447,0.968541534934358,0.708831304803344,0.710075710375623
92,465,0.667189447987557,0.659685324168831,0.967613068624049,0.706802169752586,0.707220206675124
93,470,0.667187577656287,0.656038802583085,0.96845108032061,0.704668461667697,0.704474588950141
94,475,0.66734288352565,0.658085215554567,0.968281218532832,0.704233679659294,0.704768658827531
95,480,0.667486502611309,0.656783860452621,0.967834160467202,0.696906050113564,0.700607508005548
96,485,0.667443446792139,0.65367741351086,0.967318227975661,0.697074426742723,0.700738980559485
97,490,0.667664269262968,0.653298988330014,0.96809058851497,0.691798606809455,0.693379755692014
98,495,0.667760353534257,0.648991854359992,0.968209571475494,0.686670612627615,0.6924373496998
99,500,0.667871673477516,0.653726329567409,0.968606692587789,0.683553128167128,0.686045688995936
100,505,0.667847043548367,0.649425372424756,0.968224126118863,0.684383377646906,0.682317426715975
101,605,0.671225422318074,0.634301957688162,0.968002414700448,0.611630065578675,0.616521013418189
102,705,0.672741284437489,0.617329509031923,0.968067551228789,0.545723226981624,0.548705240622041
103,805,0.673226987450367,0.597347360431196,0.968060191182843,0.481049683173201,0.48088856778469
104,905,0.671052362881849,0.59019497083946,0.96802298847941,0.408334416688618,0.409684322024434
105,1005,0.667348492030921,0.58069912482758,0.967667699735247,0.348177178616177,0.34024113847543
106,1105,0.663831902829008,0.570428468079031,0.967868233429079,0.279649349199894,0.278360970887992
107,1205,0.657923637027317,0.564654925571873,0.968254198906095,0.218443140104019,0.211241318958832
108,1305,0.647427128311541,0.551525827707472,0.968123428803847,0.157570697508097,0.160671777970159
109,1405,0.627981350921283,0.547438580081342,0.968741822900146,0.117538617949436,0.12405382556994
,1410,0.625474815136805,0.547015956350816,0.9684658878173,0.113997078710729,0.119719634142288
,1420,0.621327431769388,0.548686613689243,0.968633969320029,0.122334672875094,0.117859794629003
,1430,0.606538837096864,0.546097062104809,0.967984662991053,0.117344874521967,0.114569459167689
,1440,0.554219644156095,0.54456397908337,0.968335068161986,0.115626039404589,0.114850028274981
,1450,0.55253960049312,0.543268214701046,0.967976856330208,0.112830849559954,0.114835504398766
,1460,0.55186300087313,0.544957563181088,0.968717955289293,0.114742454200565,0.109369149296767
,1470,0.552213050629871,0.542537247439109,0.967867248416932,0.115198940053442,0.11316453879177
,1480,0.552032590128825,0.54075675646274,0.968544142420241,0.111859210709898,0.121143291588834
,1490,0.55215486982618,0.543261683402013,0.967965107552148,0.112782853018584,0.116060268777049
,1500,0.55216237097928,0.54397195093751,0.968900947124644,0.112876855949189,0.123221911034304
,1510,,0.541659347569259,0.968561892520701,0.114146631640641,0.118228819647121
,1520,,0.54614947441102,0.967959628119755,0.114380241626292,0.118659720156272
,1530,,0.540032593467294,0.968827880872931,0.116842499539228,0.120125942755179
,1540,,0.541423912611826,0.968723674588615,0.120313557751813,0.119962952226854
,1550,,0.540886782366928,0.967915845839,0.125259330096226,0.128452825601552
,1560,,0.54201325482665,0.968578203315115,0.128409962053039,0.138728679742031
,1570,,0.539295401740006,0.968251368332163,0.131887414158652,0.132092287093021
,1580,,0.537887204412195,0.968262493784265,0.13840423337171,0.13749354080454
,1590,,0.537629806158628,0.968191041366105,0.141007897945346,0.147916416302977
,1600,,0.540661321044623,0.96797385109295,0.146263661728033,0.14620782219941
,1610,,0.537454838632252,0.968087944462415,0.147505490602277,0.15660985719674
,1620,,0.535917059727975,0.967952066225773,0.15406158718136,0.152876414489365
,1630,,0.538912071172434,0.967976124495259,0.158382420812117,0.167828416075103
,1640,,0.538144407098234,0.968154031640678,0.168109856484679,0.177402208311388
,1650,,0.535346414568512,0.968316992482316,0.175919491589272,0.183039052389079
,1660,,0.535343396224945,0.96875017340145,0.183357563046515,0.188069365846057
,1670,,0.535059326610853,0.967800928308961,0.193850779873179,0.191626302253778
,1680,,0.532560387646574,0.968362970633585,0.202166314979931,0.198239140245303
,1690,,0.533444524125007,0.967722895352298,0.215744075439874,0.203421393258533
,1700,,0.534424469855455,0.968233504457111,0.225541376707807,0.204065435659313
,1710,,0.534217012560954,0.968400700586654,0.238805775970152,0.221520280291738
,1720,,0.535165407733848,0.968349814728151,0.24655929703614,0.217544371620764
,1730,,0.530363870162849,0.96814155527985,0.250703702945748,0.219161958879277
,1740,,0.532012816754076,0.968279099128455,0.249529131257334,0.225225950804275
,1750,,0.533837242421988,0.968494296277627,0.256720069064178,0.224201938815329
,1760,,0.531481053972439,0.968042054844285,0.22844701275767,0.206802574514219
,1770,,0.5326769521937,0.967966555498377,0.145773922528459,0.145773922528459