Embedded Dimension,PCA
1,0.968622361031856
6,0.953711175932587
11,0.942576602114981
16,0.93357423167868
21,0.925489683042584
26,0.916942642350085
31,0.910497678794248
36,0.903798093978052
41,0.897797853862839
46,0.891943212162669
51,0.886282340530928
56,0.880661304078403
61,0.875433298479412
66,0.870261000869215
71,0.865441783175132
76,0.861146226908806
81,0.856757929481155
86,0.85264801555423
91,0.849028018505666
96,0.845144452347926
100,0.842205195322553
110,0.833680413842587
120,0.8268344858147
130,0.819318397804605
140,0.813105682535127
150,0.806041166794983
160,0.800990815667014
170,0.79491371752673
180,0.789608056178257
190,0.783984755122047
200,0.778805077800938
210,0.77353624325968
220,0.768687771504612
230,0.763873875078707
240,0.759469691968179
250,0.754393838530385
260,0.750273983048733
270,0.745404916582088
280,0.741731210858853
290,0.73667875912924
300,0.732995919578268
310,0.728682644493064
320,0.724039315126224
330,0.721018383767862
340,0.716568958804356
350,0.71305766137972
360,0.708827279403608
370,0.704900548851261
380,0.701671602698872
390,0.697810182628895
400,0.694119685865656
410,0.690216532170672
420,0.686247485156208
430,0.682376999485346
440,0.679001129062901
450,0.675618666585883
460,0.672223742717893
470,0.668319216535134
480,0.664797283111633
490,0.661197068710475
500,0.657793059754013
600,0.624000491140868
700,0.593844606935497
800,0.564279522604453
900,0.537651319175474
1000,0.513190827297868
1100,0.492336392012359
1200,0.470062253373372
1300,0.449533421897712
1400,0.429403796675586
1500,0.410000027285212
1600,0.392215252131605
1700,0.375761291993579
1800,0.359618325109721
1900,0.343816272697368
2000,0.329083255240332
2100,0.314883596242188
2200,0.301603554579158
2300,0.288003886085919
2400,0.276212779932043
2500,0.263822762719789
2600,0.25274230413663
2700,0.241380579406321
2800,0.231388509141624
2900,0.222032014990668
3000,0.211317058434419
3100,0.202187870223706
3200,0.193615721419248
3300,0.185912520315031
3400,0.177334596048477
3500,0.169554240686441
3600,0.162844554466876
3700,0.155299880421471
3800,0.14811789871175
3900,0.142272159469737
4000,0.135927896590656
4100,0.129455758460066
4200,0.124742730058375
4300,0.118009501935052
4400,0.113904403222435
4500,0.107567334235472
4600,0.103745319422506
4700,0.0989348518738646
4800,0.094564783029434
4900,0.089784339596743
5000,0.0853197180056593
5100,0.0817731249571167
5200,0.0778950360205418
5300,0.0752014050182225
5400,0.0715159604367285
5500,0.0686222965042946
5600,0.0657338130669993
5700,0.0621669147748748
5800,0.0594119458608534
5900,0.0564014730865316
6000,0.0538215228129154
6100,0.0509696142374727
6200,0.0487915769678442
6300,0.0461136785347776
6400,0.0440082354302909
6500,0.042478857015751
6600,0.0401980237189536
6700,0.0381980128908695
6800,0.0366907860470724
6900,0.0343558477156653
7000,0.0332531524321416
7100,0.0310889510477534
7200,0.0297084057107599
7300,0.0285037636615655
7400,0.0272236434967252
7500,0.0257160274080748
7600,0.0245726383444326
7700,0.0236862216557648
7800,0.0232955613666274
7900,0.0221284637528292
8000,0.0212242479585965
8100,0.02098263306238
8200,0.0203232876667733
8300,0.0201499321634685
8400,0.0196047416675681
8500,0.0195062627196814
8600,0.0193939478865544
8700,0.0192880379005591
8800,0.0188444756972676
8900,0.0186914670840221
9000,0.0184954292215382
9100,0.0178451426152449
9200,0.0176383120545557
9300,0.0172264909997567
9400,0.0166113072020524
9500,0.0158241833368737
9600,0.0152292402715415
9700,0.0143404881137538
9800,0.0135275325446737
9900,0.012616805745622
10000,0.0118239847512267
10100,0.0109213967081987
10200,0.00986824167873237
10300,0.0086783555480679
10400,0.00740952348397357
10500,0.00613173878825317
10600,0.00588920385874701
10700,-1
10800,-1
10900,-1
11000,-1
11100,-1
11200,-1
11300,-1
11400,-1
11500,-1
11600,-1
11700,-1
11800,-1
11900,-1
12000,-1
12100,-1
12200,-1
12300,-1
12400,-1
12500,-1
12600,-1
12700,-1
12800,-1
12900,-1
13000,-1
13100,-1
13200,-1
13300,-1
13400,-1
13500,-1
13600,-1
13700,-1
13800,-1
13900,-1
14000,-1
14100,-1
14200,-1
14300,-1
14400,-1
14500,-1
14600,-1
14700,-1
14800,-1
14900,-1